SourceFile,Directory,FileName,DateTimeOriginal,Subject,TagsList,Keywords,cameraID,DateTime,roundDate,dateOnly,blastID,uniqueID,site_ID,plot_ID,reserve
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03240200_ECO_25.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03240200_ECO_25.JPG,2023:03:24 09:32:25,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_25,2024-03-24T09:32:25Z,2024-03-24T09:32:00Z,2024-03-24,ECO_25_1998,obs5687,SU_S05,SU_S05_P03,Summerplace
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03240422_ECO_24.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03240422_ECO_24.JPG,2024:03:24 15:10:52,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_24,2024-03-24T15:10:52Z,2024-03-24T15:11:00Z,2024-03-24,ECO_24_2074,obs5763,SU_S04,SU_S04_P03,Summerplace
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03250177_ECO_23.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03250177_ECO_23.JPG,2024:03:25 11:43:59,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_23,2024-03-25T11:43:59Z,2024-03-25T11:44:00Z,2024-03-25,ECO_23_2130,obs5901,SU_S03,SU_S03_P03,Summerplace
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03250219_ECO_14.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03250219_ECO_14.JPG,2024:03:25 06:39:10,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_14,2024-03-25T06:39:10Z,2024-03-25T06:39:00Z,2024-03-25,ECO_14_2101,obs5919,WI_S04,WI_S04_P03,Willowisp
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03250573_ECO_20.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03250573_ECO_20.JPG,2024:03:25 13:04:21,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_20,2024-03-25T13:04:21Z,2024-03-25T13:04:00Z,2024-03-25,ECO_20_2145,obs6033,SY_S05,SY_S05_P03,Syringa Sands
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/04010633_ECO_27.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,04010633_ECO_27.JPG,2024:04:01 16:13:23,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_27,2024-04-01T16:13:23Z,2024-04-01T16:13:00Z,2024-04-01,ECO_27_2788,obs7716,DA_S02,DA_S02_P03,Dabchick
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/04060249_ECO_35.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,04060249_ECO_35.JPG,2024:04:06 11:49:10,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_35,2024-04-06T11:49:10Z,2024-04-06T11:49:00Z,2024-04-06,ECO_35_3143,obs8551,AN_S05,AN_S05_P03,Ant's Farm
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/04080519_ECO_19.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,04080519_ECO_19.JPG,2024:04:08 10:01:54,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_19,2024-04-08T10:01:54Z,2024-04-08T10:02:00Z,2024-04-08,ECO_19_3269,obs8927,SY_S04,SY_S04_P03,Syringa Sands
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/04270258_ECO_23.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,04270258_ECO_23.JPG,2024:04:27 09:58:44,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_23,2024-04-27T09:58:44Z,2024-04-27T09:59:00Z,2024-04-27,ECO_23_4664,obs12657,SU_S03,SU_S03_P03,Summerplace
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/04300336_ECO_27.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,04300336_ECO_27.JPG,2024:04:30 10:10:24,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_27,2024-04-30T10:10:24Z,2024-04-30T10:10:00Z,2024-04-30,ECO_27_4879,obs13336,DA_S02,DA_S02_P03,Dabchick
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/04300736_ECO_31.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,04300736_ECO_31.JPG,2024:04:30 14:00:31,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_31,2024-04-30T14:00:31Z,2024-04-30T14:01:00Z,2024-04-30,ECO_31_4912,obs13426,AN_S01,AN_S01_P03,Ant's Farm
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/05020391_ECO_35.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,05020391_ECO_35.JPG,2024:05:02 15:26:28,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_35,2024-05-02T15:26:28Z,2024-05-02T15:26:00Z,2024-05-02,ECO_35_5091,obs13858,AN_S05,AN_S05_P03,Ant's Farm
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/05030256_ECO_14.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,05030256_ECO_14.JPG,2024:05:03 11:23:34,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_14,2024-05-03T11:23:34Z,2024-05-03T11:24:00Z,2024-05-03,ECO_14_5164,obs13968,WI_S04,WI_S04_P03,Willowisp
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/05100612_ECO_33.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,05100612_ECO_33.JPG,2024:05:10 17:00:17,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_33,2024-05-10T17:00:17Z,2024-05-10T17:00:00Z,2024-05-10,ECO_33_5704,obs15234,AN_S03,AN_S03_P03,Ant's Farm
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/05120096_ECO_27.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,05120096_ECO_27.JPG,2024:05:12 09:51:43,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_27,2024-05-12T09:51:43Z,2024-05-12T09:52:00Z,2024-05-12,ECO_27_5783,obs15409,DA_S02,DA_S02_P03,Dabchick
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/05120512_ECO_28.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,05120512_ECO_28.JPG,2024:05:12 15:46:41,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_28,2024-05-12T15:46:41Z,2024-05-12T15:47:00Z,2024-05-12,ECO_28_5800,obs15453,DA_S03,DA_S03_P03,Dabchick
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/05120803_ECO_40.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,05120803_ECO_40.JPG,2024:05:12 06:56:45,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_40,2024-05-12T06:56:45Z,2024-05-12T06:57:00Z,2024-05-12,ECO_40_5767,obs15482,KA_S05,KA_S05_P03,Kaingo
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/05170062_ECO_20.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,05170062_ECO_20.JPG,2024:05:17 14:40:40,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_20,2024-05-17T14:40:40Z,2024-05-17T14:41:00Z,2024-05-17,ECO_20_6081,obs16113,SY_S05,SY_S05_P03,Syringa Sands
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/05180600_ECO_28.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,05180600_ECO_28.JPG,2024:05:18 17:07:30,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_28,2024-05-18T17:07:30Z,2024-05-18T17:08:00Z,2024-05-18,ECO_28_6143,obs16344,DA_S03,DA_S03_P03,Dabchick
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/05190933_ECO_49.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,05190933_ECO_49.JPG,2024:05:19 05:10:23,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_49,2024-05-19T05:10:23Z,2024-05-19T05:10:00Z,2024-05-19,ECO_49_6160,obs16495,MA_S04,MA_S04_P03,Marakele
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/05300042_ECO_40.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,05300042_ECO_40.JPG,2024:05:30 07:25:58,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_40,2024-05-30T07:25:58Z,2024-05-30T07:26:00Z,2024-05-30,ECO_40_6736,obs17826,KA_S05,KA_S05_P03,Kaingo
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/06010923_ECO_15.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,06010923_ECO_15.JPG,2024:06:01 07:54:29,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_15,2024-06-01T07:54:29Z,2024-06-01T07:54:00Z,2024-06-01,ECO_15_6835,obs18191,WI_S05,WI_S05_P03,Willowisp
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/06090189_ECO_15.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,06090189_ECO_15.JPG,2024:06:09 15:48:16,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_15,2024-06-09T15:48:16Z,2024-06-09T15:48:00Z,2024-06-09,ECO_15_7433,obs19414,WI_S05,WI_S05_P03,Willowisp
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/06260409_ECO_28.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,06260409_ECO_28.JPG,2024:06:26 17:19:25,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_28,2024-06-26T17:19:25Z,2024-06-26T17:19:00Z,2024-06-26,ECO_28_8083,obs21175,DA_S03,DA_S03_P03,Dabchick
