bare_ground,rock_cover,tsq_x_shrub,tsq_t_shrub,tsq_x_tree,tsq_t_tree,reproductive_height,bulk_density,leaf_size,hairs,width_cm,length_cm,height_cm,growth_form,life_form,growth_forms_per_plot,plot_ID,site_ID,species_per_plot,dominant_growth_form_plot,forbs_per_plot,graminoids_per_plot
65,0,170,30,770,410,35.7,low,Thin linear,absent,6.69444444444445,10.5277777777778,16.8333333333333,Sparse upward graminoid,Forb,6,DA_S03_P05,DA_S03,18,Sparse upward graminoid,10,8
60,0,30,46,170,69,55.15,low,Macro,absent,18.6538461538462,26.5,36.0769230769231,Sparse upward graminoid,Graminoid,6,DA_S04_P01,DA_S04,13,Shrub single-stemmed,5,6
30,0,46,39,381,590,57.4166666666667,low,Macro,absent,15.7307692307692,21.0384615384615,30.6538461538462,Straight forb,Forb,6,DA_S04_P03,DA_S04,13,Shrub single-stemmed,7,5
40,0,71,30,425,70,61.8571428571429,low,Macro,absent,20.1111111111111,31,35.4444444444444,Sparse upward graminoid,Graminoid,5,DA_S04_P04,DA_S04,9,Shrub single-stemmed,3,4
60,0,30,62,152,70,28.2222222222222,medium,Thin linear,absent,16.3846153846154,22.8461538461538,23.3846153846154,Sparse upward graminoid,Graminoid,6,AN_S02_P02,AN_S02,13,Shrub single-stemmed,4,7
50,5,210,460,265,340,43.3333333333333,low,Thin linear,absent,14.3571428571429,21.6071428571429,18.6071428571429,Straight forb,Forb,5,KA_S01_P04,KA_S01,14,Relaxed tussock graminoid,8,6
45,0,240,150,350,150,60.3333333333333,medium,Thin linear,absent,30.2857142857143,47.5,20.4285714285714,Relaxed tussock graminoid,Graminoid,4,KA_S01_P05,KA_S01,7,Relaxed tussock graminoid,2,5
25,1,146,60,190,85,46.4,low,Macro,both,17.1875,22.875,24.5,Round forb,Forb,8,SW_S04_P05,SW_S04,16,Relaxed tussock graminoid,8,6
60,0,309,119,275,290,34.5833333333333,low,Thin linear,absent,8.83333333333333,15.9285714285714,15.547619047619,Straight forb,Forb,6,AN_S04_P02,AN_S04,21,Sparse upward graminoid,12,9
55,0,30,110,270,460,47.65,low,Macro,absent,19.1052631578947,31.1578947368421,31.578947368421,Straight forb,Forb,9,KA_S05_P05,KA_S05,19,Sparse upward graminoid,10,7
10,0,110,80,230,210,47.35,low,Macro,absent,12.4722222222222,23.1666666666667,28.6388888888889,Straight forb,Forb,8,SU_S01_P01,SU_S01,18,Relaxed tussock graminoid,11,5
40,0,60,70,120,140,59.1666666666667,low,Macro,absent,19.2692307692308,28.1923076923077,37.5384615384615,Shrub single-stemmed,Graminoid,7,SU_S04_P05,SU_S04,13,Relaxed tussock graminoid,3,5
80,0,190,260,530,100,36.4285714285714,high,Thin linear,Absent,13.1111111111111,19.2222222222222,18.1111111111111,Relaxed tussock graminoid,Graminoid,5,LA_S03_P03,LA_S03,9,Creeping graminoid,2,7
