plot_ID,date_time,canopy_height_plot,elevation_plot,mat_plot,map_plot,tree_cover_plot,reiner_tree_cover_plot,reserve,site_ID,canopy_height_site,elevation_site,mat_site,map_site,tree_cover_site,reiner_tree_cover_site
LA_S05_P05,2024-02-18T14:59:25.992001Z,6.5588812828064,1146.025390625,19.5809135437012,509.595672607422,36.0629272460938,7.78498315811157,Lapalala,LA_S05,7.57793741226196,1145.55727539063,19.6361827850342,502.079132080078,36.7572315216064,7.09708662033081
JE_S01_P01,2024-02-21T11:18:58.882Z,5.12281942367554,1195.55737304688,19.1499996185303,549.899963378906,23.2324867248535,12.5518388748169,Jembisa,JE_S01,4.20197291374207,1198.37595214844,19.1499996185303,549.900012207031,23.2479499816895,8.93873300552368
JE_S01_P02,2024-02-21T11:26:52.594002Z,5.14082717895508,1196,19.1499996185303,549.900024414063,26.6883907318115,13.6873874664307,Jembisa,JE_S01,4.20197291374207,1198.37595214844,19.1499996185303,549.900012207031,23.2479499816895,8.93873300552368
JE_S01_P03,2024-02-21T12:33:11.599Z,3.75165414810181,1199.36145019531,19.1499996185303,549.900024414063,22.9604377746582,3.30527544021606,Jembisa,JE_S01,4.20197291374207,1198.37595214844,19.1499996185303,549.900012207031,23.2479499816895,8.93873300552368
JE_S01_P04,2024-02-21T14:08:45.867001Z,3.32773399353027,1199.43615722656,19.1499996185303,549.900024414063,22.0030632019043,8.27878379821777,Jembisa,JE_S01,4.20197291374207,1198.37595214844,19.1499996185303,549.900012207031,23.2479499816895,8.93873300552368
JE_S01_P05,2024-02-21T14:22:35.028999Z,3.66682982444763,1201.52478027344,19.1499996185303,549.900024414063,21.3553714752197,6.87037944793701,Jembisa,JE_S01,4.20197291374207,1198.37595214844,19.1499996185303,549.900012207031,23.2479499816895,8.93873300552368
JE_S02_P01,2024-02-22T09:09:43.544998Z,0.38001474738121,1227,18.9500007629395,527,2.8637216091156,6.45062446594238,Jembisa,JE_S02,0.152916924655437,1231.04243164063,18.9500003814697,527,1.64975090585649,11.7455665588379
JE_S02_P02,2024-02-22T09:55:04.579Z,0.26679390668869,1229.02014160156,18.9500007629395,527,4.13556671142578,16.0796527862549,Jembisa,JE_S02,0.152916924655437,1231.04243164063,18.9500003814697,527,1.64975090585649,11.7455665588379
JE_S02_P03,2024-02-22T10:48:06.615Z,0.117775969207287,1231.48681640625,18.9499988555908,527,1.24088001251221,8.24742794036865,Jembisa,JE_S02,0.152916924655437,1231.04243164063,18.9500003814697,527,1.64975090585649,11.7455665588379
JE_S02_P04,2024-02-22T11:28:48.737999Z,0,1233.07800292969,18.9500007629395,527,0.00858619622886181,14.7650375366211,Jembisa,JE_S02,0.152916924655437,1231.04243164063,18.9500003814697,527,1.64975090585649,11.7455665588379
JE_S02_P05,2024-02-22T12:00:56.363998Z,0,1234.62719726563,18.9500007629395,527,0,13.1850900650024,Jembisa,JE_S02,0.152916924655437,1231.04243164063,18.9500003814697,527,1.64975090585649,11.7455665588379
JE_S03_P01,2024-02-22T13:06:43.528Z,0.504836797714233,1268.48913574219,18.5500011444092,543.300048828125,5.35417175292969,6.79622602462769,Jembisa,JE_S03,0.11451553851366,1272.28542480469,18.5500003814697,543.3,1.16506570577621,5.36922707557678
JE_S03_P02,2024-02-22T13:25:39.584999Z,0.0677408948540688,1271.89404296875,18.5499992370605,543.299987792969,0.471156775951386,6.72174978256226,Jembisa,JE_S03,0.11451553851366,1272.28542480469,18.5500003814697,543.3,1.16506570577621,5.36922707557678
JE_S03_P03,2024-02-22T14:05:35.821999Z,0,1273,18.5499992370605,543.299987792969,0,7.07713937759399,Jembisa,JE_S03,0.11451553851366,1272.28542480469,18.5500003814697,543.3,1.16506570577621,5.36922707557678
JE_S03_P04,2024-02-22T14:25:24.697001Z,0,1274.0439453125,18.5500011444092,543.299987792969,0,3.17535400390625,Jembisa,JE_S03,0.11451553851366,1272.28542480469,18.5500003814697,543.3,1.16506570577621,5.36922707557678
JE_S03_P05,2024-02-22T15:12:40.500Z,0,1274,18.5500011444092,543.299987792969,0,3.07566618919373,Jembisa,JE_S03,0.11451553851366,1272.28542480469,18.5500003814697,543.3,1.16506570577621,5.36922707557678
JE_S04_P01,2024-02-23T06:57:43.764999Z,10.4102306365967,1214.61608886719,18.9500007629395,560,49.3938407897949,5.85135364532471,Jembisa,JE_S04,4.66701155900955,1217.7375,18.9500007629395,560,23.4916634559631,4.66897082328796
JE_S04_P02,2024-02-23T08:31:43.533001Z,4.91406297683716,1217,18.9500007629395,560,30.244571685791,6.84651613235474,Jembisa,JE_S04,4.66701155900955,1217.7375,18.9500007629395,560,23.4916634559631,4.66897082328796
JE_S04_P03,2024-02-23T08:40:59.762001Z,3.34442234039307,1217.67895507813,18.9500007629395,560,15.3215389251709,1.69580054283142,Jembisa,JE_S04,4.66701155900955,1217.7375,18.9500007629395,560,23.4916634559631,4.66897082328796
JE_S04_P04,2024-02-23T09:26:04.990Z,0.778482973575592,1219,18.9500007629395,560,4.69826936721802,3.40783548355103,Jembisa,JE_S04,4.66701155900955,1217.7375,18.9500007629395,560,23.4916634559631,4.66897082328796
JE_S04_P05,2024-02-23T10:28:07.740Z,3.88785886764526,1220.39245605469,18.9500007629395,560,17.8000965118408,5.54334831237793,Jembisa,JE_S04,4.66701155900955,1217.7375,18.9500007629395,560,23.4916634559631,4.66897082328796
JE_S05_P01,2024-02-23T12:09:43.047001Z,0.115629948675632,1190.04162597656,19.25,530.299987792969,1.07225096225739,4.55118608474731,Jembisa,JE_S05,2.80135286599398,1191.60502929688,19.25,530.299987792969,13.8835915803909,9.04940218925476
JE_S05_P02,2024-02-23T12:33:57.999001Z,0.702129244804382,1191.31884765625,19.25,530.299987792969,8.22345352172852,2.72270512580872,Jembisa,JE_S05,2.80135286599398,1191.60502929688,19.25,530.299987792969,13.8835915803909,9.04940218925476
JE_S05_P03,2024-02-23T13:13:16.384001Z,1.13825345039368,1192,19.25,530.299987792969,9.75388336181641,11.3297567367554,Jembisa,JE_S05,2.80135286599398,1191.60502929688,19.25,530.299987792969,13.8835915803909,9.04940218925476
JE_S05_P04,2024-02-23T14:15:18.289Z,6.8790340423584,1192.66467285156,19.25,530.299987792969,29.4562244415283,16.7055492401123,Jembisa,JE_S05,2.80135286599398,1191.60502929688,19.25,530.299987792969,13.8835915803909,9.04940218925476
JE_S05_P05,2024-02-23T15:15:02.910Z,5.17171764373779,1192,19.25,530.299987792969,20.912145614624,9.9378137588501,Jembisa,JE_S05,2.80135286599398,1191.60502929688,19.25,530.299987792969,13.8835915803909,9.04940218925476
